"","indiv_id","date","sex","race","age","charge_num","sec_code","ca_code","section_full","section","subsection1","subsection2","subsection3","subsection4","subsection5","part","part_head","title","title_head","chapter","chapter_head","division","division_head","description_1","description_2","description_3","description_4","description_5","description_6","description_7","description_8","sentence_1","sentence_2","sentence_3","sentence_4","sentence_5","sentence_6","sentence_7","sentence_8","severity_1","severity_2","severity_3","severity_4","severity_5","severity_6","severity_7","severity_8","category"
"11","11",2015-06-06,"M","Black",43,"charge1","11364.1(A)HS","HS","11364.1 (A)","11364.1","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESSION DRUG PARAPHENALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"12","12",2015-06-07,"M","White",21,"charge1","11350(A)HS","HS","11350 (A)","11350","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Drug offenses"
"13","13",2015-06-07,"F","White",31,"charge1","11364(A)HS","HS","11364 (A)","11364","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS UNLAWFUL PARAPHERNALIA",NA,NA,NA,NA,NA,NA,NA,"15-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"14","14",2015-06-09,"M","Hispanic",22,"charge1","496(A)PC","PC","496 (A)","496","(A)",NA,NA,NA,NA,"1","crimes and punishments","13","crimes against property","5","larceny",NA,NA,"RECEIVE/ETC KNOWN STOLEN PROPERTY","RECEIVE/ETC KNOWN STOLEN PROPERTY","RECEIVE/ETC KNOWN STOLEN PROPERTY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Theft"
"15","15",2015-06-10,"M","White",32,"charge1","243(E)(1)PC","PC","243 (E) (1)","243","(E)","(1)",NA,NA,NA,"1","crimes and punishments","8","crimes against the person","9","assault and battery",NA,NA,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"Assault and battery"
"16","16",2015-06-11,"M","Hispanic",24,"charge1","22610(A)PC","PC","22610 (A)","22610","(A)",NA,NA,NA,NA,"6","control of deadly weapons",NA,NA,NA,NA,NA,NA,"FELON POSSESS/BUY/USE STUN GUN",NA,NA,NA,NA,NA,NA,NA,"1-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"17","17",2015-06-11,"M","Hispanic",32,"charge1","11377(A)HS","HS","11377 (A)","11377","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Drug offenses"
"18","18",2015-06-11,"F","Black",37,"charge1","11378HS","HS","11378","11378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE FOR SALE","POSSESS CONTROLLED SUBSTANCE FOR SALE",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS",NA,NA,NA,NA,NA,NA,"Felony","Felony",NA,NA,NA,NA,NA,NA,"Drug offenses"
"19","19",2015-06-12,"M","White",24,"charge1","148(A)(1)PC","PC","148 (A) (1)","148","(A)","(1)",NA,NA,NA,"1","crimes and punishments","7","crimes against public justice","7","other offenses against public justice",NA,NA,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"Assault and battery"
"20","20",2015-06-12,"F","Other Asian",25,"charge1","69PC","PC","69","69",NA,NA,NA,NA,NA,"1","crimes and punishments","5","crimes by and against the executive power of the state",NA,NA,NA,NA,"OBSTRUCT/RESIST EXECUTIVE OFFICER","OBSTRUCT/RESIST EXECUTIVE OFFICER",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,NA,"Felony","Misdemeanor",NA,NA,NA,NA,NA,NA,"Assault and battery"
"21","21",2015-06-12,"M","Black",28,"charge1","415(1)PC","PC","415 (1)","415","(1)",NA,NA,NA,NA,"1","crimes and punishments","11","crimes against the public peace",NA,NA,NA,NA,"FIGHT/CHALLENGE FIGHT PUBLIC PLACE",NA,NA,NA,NA,NA,NA,NA,"1-90 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Disturbing the peace"
"22","22",2015-06-12,"M","White",29,"charge1","647(F)PC","PC","647 (F)","647","(F)",NA,NA,NA,NA,"1","crimes and punishments","15","miscellaneous crimes","1","of other and miscellaneous offenses",NA,NA,"DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL","DISORDERLY CONDUCT:ALCOHOL","DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG","DISORDERLY CONDUCT:TOLUENE",NA,NA,NA,NA,"1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL",NA,NA,NA,NA,"Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Drug offenses"
"23","23",2015-06-12,"M","White",46,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"24","24",2015-06-13,"M","Hispanic",20,"charge1","23224(B)VC","VC","23224 (B)","23224","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASSENGER:MINOR:POSSESS/ETC ALCOHOL IN VEHICLE",NA,NA,NA,NA,NA,NA,NA,"1-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"25","25",2015-06-13,"M","White",20,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"26","26",2015-06-13,"M","Hispanic",23,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"27","27",2015-06-14,"M","White",22,"charge1","23152(E)VC","VC","23152 (E)","23152","(E)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI: ALCOHOL/.04% PASSENGR IS PASS FOR HIRE",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"28","28",2015-06-14,"M","White",29,"charge1","11377(A)HS","HS","11377 (A)","11377","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Drug offenses"
"29","29",2015-06-15,"M","Black",32,"charge1","273.5(A)PC","PC","273.5 (A)","273.5","(A)",NA,NA,NA,NA,"1","crimes and punishments","9","crimes against the person involving sexual assault, and crimes against public decency and good morals","2","abandonment of children",NA,NA,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP",NA,NA,NA,NA,NA,"2,3,4 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Assault and battery"
"30","30",2015-06-15,"M","Hispanic",35,"charge1","647(F)PC","PC","647 (F)","647","(F)",NA,NA,NA,NA,"1","crimes and punishments","15","miscellaneous crimes","1","of other and miscellaneous offenses",NA,NA,"DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL","DISORDERLY CONDUCT:ALCOHOL","DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG","DISORDERLY CONDUCT:TOLUENE",NA,NA,NA,NA,"1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL",NA,NA,NA,NA,"Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Drug offenses"
"31","31",2015-06-18,"M","White",28,"charge1","22210PC","PC","22210","22210",NA,NA,NA,NA,NA,"6","control of deadly weapons",NA,NA,NA,NA,NA,NA,"MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC","MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC","MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC","MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Alcohol-related incidents"
"32","32",2015-06-19,"M","White",26,"charge1","11364.1(A)HS","HS","11364.1 (A)","11364.1","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESSION DRUG PARAPHENALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"33","33",2015-06-19,"M","Hispanic",26,"charge1","11364.1(A)HS","HS","11364.1 (A)","11364.1","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESSION DRUG PARAPHENALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"34","34",2015-06-19,"F","Hispanic",36,"charge1","11364.1(A)HS","HS","11364.1 (A)","11364.1","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESSION DRUG PARAPHENALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"35","35",2015-06-20,"M","Hispanic",27,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"36","36",2015-06-20,"M","Black",36,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"37","37",2015-06-20,"M","Black",48,"charge1","243(D)PC","PC","243 (D)","243","(D)",NA,NA,NA,NA,"1","crimes and punishments","8","crimes against the person","9","assault and battery",NA,NA,"BATTERY W/SERIOUS BODILY INJURY","BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT)","BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT)",NA,NA,NA,NA,NA,"2,3,4 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Assault and battery"
"38","38",2015-06-20,"M","Black",51,"charge1","664/187(A)PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Assault and battery"
"39","39",2015-06-20,"F","White",56,"charge1","459.5PC","PC","459.5","459.5",NA,NA,NA,NA,NA,"1","crimes and punishments","13","crimes against property","2","burglary",NA,NA,"SHOPLIFTING","SHOPLIFTING","SHOPLIFTING",NA,NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-180 DA JAIL",NA,NA,NA,NA,NA,"Felony","Felony","Misdemeanor",NA,NA,NA,NA,NA,"Theft"
"40","40",2015-06-21,"M","White",29,"charge1","273.5(A)PC","PC","273.5 (A)","273.5","(A)",NA,NA,NA,NA,"1","crimes and punishments","9","crimes against the person involving sexual assault, and crimes against public decency and good morals","2","abandonment of children",NA,NA,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP",NA,NA,NA,NA,NA,"2,3,4 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Assault and battery"
"41","41",2015-06-21,"M","Black",30,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"42","42",2015-06-21,"M","White",59,"charge1","10851(A)VC","VC","10851 (A)","10851","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","TAKE VEHICLE WITHOUT OWNER'S CONSENT",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,NA,"Felony","Misdemeanor",NA,NA,NA,NA,NA,NA,"Theft"
"43","43",2015-06-23,"F","Hispanic",32,"charge1","148(A)(1)PC","PC","148 (A) (1)","148","(A)","(1)",NA,NA,NA,"1","crimes and punishments","7","crimes against public justice","7","other offenses against public justice",NA,NA,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"Assault and battery"
"44","44",2015-06-24,"M","Hispanic",33,"charge1","236PC","PC","236","236",NA,NA,NA,NA,NA,"1","crimes and punishments","8","crimes against the person","8","false imprisonment and human trafficking",NA,NA,"FALSE IMPRISONMENT","FALSE IMPRISONMENT","FALSE IMPRISONMENT W/VIOLENCE/ETC","FALSE IMPRISONMENT W/VIOLENCE/ETC","FALSE IMPRISONMENT","FALSE IMPRISONMENT",NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,"Felony","Felony","Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,"Kidnapping/false imprisonment"
"45","45",2015-06-24,"M","Hispanic",35,"charge1","647(F)PC","PC","647 (F)","647","(F)",NA,NA,NA,NA,"1","crimes and punishments","15","miscellaneous crimes","1","of other and miscellaneous offenses",NA,NA,"DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL","DISORDERLY CONDUCT:ALCOHOL","DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG","DISORDERLY CONDUCT:TOLUENE",NA,NA,NA,NA,"1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL",NA,NA,NA,NA,"Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Drug offenses"
"46","46",2015-06-25,"M","Black",24,"charge1","30305(A)(1)PC","PC","30305 (A) (1)","30305","(A)","(1)",NA,NA,NA,"6","control of deadly weapons",NA,NA,NA,NA,NA,NA,"PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC","PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC","PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC","PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Assault and battery"
"47","47",2015-06-25,"M","White",24,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Alcohol-related incidents"
"48","48",2015-06-25,"M","White",38,"charge1","10851(A)VC","VC","10851 (A)","10851","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","TAKE VEHICLE WITHOUT OWNER'S CONSENT",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,NA,"Felony","Misdemeanor",NA,NA,NA,NA,NA,NA,"Theft"
"49","49",2015-06-25,"M","White",39,"charge1","21310PC","PC","21310","21310",NA,NA,NA,NA,NA,"6","control of deadly weapons",NA,NA,NA,NA,NA,NA,"CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"Alcohol-related incidents"
"50","50",2015-06-25,"M","Hispanic",45,"charge1","11364(A)HS","HS","11364 (A)","11364","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS UNLAWFUL PARAPHERNALIA",NA,NA,NA,NA,NA,NA,NA,"15-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"Drug offenses"
"51","51",2015-06-27,"M","White",32,"charge1","11377(A)HS","HS","11377 (A)","11377","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","uniform controlled substances act","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE","POSSESS CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"Drug offenses"
