"date","broad_cat","disp_desc","n"
2015-01-07,"Miscellaneous general","Service",8
2015-01-07,"Miscellaneous general","Unable to Locate",1
2015-01-07,"Public services","Referred",1
2015-01-07,"Public services","Service",14
2015-01-07,"Bikes","Advised",2
2015-01-07,"Bikes","Cited",1
2015-01-07,"Bikes","Service",1
2015-01-07,"Checkup","Advised",1
2015-01-07,"Checkup","Cancelled by RP",4
2015-01-07,"Checkup","False Alarm",2
2015-01-07,"Checkup","Service",19
2015-01-07,"Checkup","Unable to Locate",1
2015-01-07,"Patrol","Service",7
2015-01-07,"Vehicular violations","Advised",27
2015-01-07,"Vehicular violations","Cited",21
2015-01-07,"Vehicular violations","Incident Number Given",1
2015-01-07,"Vehicular violations","Referred",1
2015-01-07,"Vehicular violations","Report Taken",1
2015-01-07,"Vehicular violations","Service",7
2015-01-07,"Miscellaneous crime/citation","Report Taken",2
2015-01-07,"Miscellaneous crime/citation","Service",1
2015-01-07,"Disturbance","Report Taken",1
2015-01-07,"Disturbance","Service",1
2015-01-07,"Disturbance","Unable to Locate",1
2015-01-07,"Alcohol/drugs","Service",3
2015-01-07,"Accidents/injuries","Report Taken",2
2015-01-07,"Burglary/theft","Cancelled by RP",1
2015-01-07,"Burglary/theft","Online Crime Report",2
2015-01-07,"Burglary/theft","Report Taken",5
2015-01-07,"Burglary/theft","Service",1
2015-01-07,"Burglary/theft","Unfounded",1
2015-01-07,"Person search","Report Taken",1
2015-01-07,"Person search","Service",4
2015-01-07,"Person search","Unable to Locate",1
2015-01-07,"Suspicious activity/threats","Cancelled by RP",2
2015-01-07,"Suspicious activity/threats","Service",9
2015-01-07,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-08,"Miscellaneous general","Report Taken",2
2015-01-08,"Miscellaneous general","Service",16
2015-01-08,"Public services","Advised",2
2015-01-08,"Public services","Referred",2
2015-01-08,"Public services","Service",4
2015-01-08,"Bikes","Advised",2
2015-01-08,"Bikes","Cited",1
2015-01-08,"Bikes","Referred",1
2015-01-08,"Bikes","Service",4
2015-01-08,"Checkup","Advised",1
2015-01-08,"Checkup","Arrest Made",1
2015-01-08,"Checkup","Cancelled by RP",6
2015-01-08,"Checkup","False Alarm",2
2015-01-08,"Checkup","Service",19
2015-01-08,"Checkup","Unfounded",1
2015-01-08,"Patrol","Cancelled by RP",1
2015-01-08,"Patrol","Referred",2
2015-01-08,"Patrol","Service",7
2015-01-08,"Vehicular violations","Advised",13
2015-01-08,"Vehicular violations","Arrest Made",1
2015-01-08,"Vehicular violations","Cancelled by RP",2
2015-01-08,"Vehicular violations","Cited",10
2015-01-08,"Vehicular violations","Referred",1
2015-01-08,"Vehicular violations","Service",9
2015-01-08,"Vehicular violations","Unable to Locate",1
2015-01-08,"Miscellaneous crime/citation","Online Crime Report",2
2015-01-08,"Miscellaneous crime/citation","Report Taken",2
2015-01-08,"Miscellaneous crime/citation","Service",11
2015-01-08,"Disturbance","Advised",1
2015-01-08,"Disturbance","Report Taken",1
2015-01-08,"Disturbance","Service",3
2015-01-08,"Alcohol/drugs","Arrest Made",2
2015-01-08,"Alcohol/drugs","Service",1
2015-01-08,"Alcohol/drugs","Unable to Locate",1
2015-01-08,"Accidents/injuries","Report Taken",1
2015-01-08,"Accidents/injuries","Service",2
2015-01-08,"Burglary/theft","Online Crime Report",7
2015-01-08,"Burglary/theft","Service",2
2015-01-08,"Suspicious activity/threats","Advised",3
2015-01-08,"Suspicious activity/threats","Arrest Made",1
2015-01-08,"Suspicious activity/threats","Incident Number Given",2
2015-01-08,"Suspicious activity/threats","Report Taken",2
2015-01-08,"Suspicious activity/threats","Service",5
2015-01-08,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-09,"Miscellaneous general","Service",8
2015-01-09,"Public services","Service",16
2015-01-09,"Bikes","Advised",3
2015-01-09,"Bikes","Cited",2
2015-01-09,"Bikes","Service",2
2015-01-09,"Checkup","Advised",4
2015-01-09,"Checkup","Arrest Made",1
2015-01-09,"Checkup","Cancelled by RP",4
2015-01-09,"Checkup","Service",22
2015-01-09,"Patrol","Advised",1
2015-01-09,"Patrol","Service",17
2015-01-09,"Vehicular violations","Advised",14
2015-01-09,"Vehicular violations","Cited",17
2015-01-09,"Vehicular violations","Service",19
2015-01-09,"Vehicular violations","Unable to Locate",1
2015-01-09,"Miscellaneous crime/citation","Referred",1
2015-01-09,"Miscellaneous crime/citation","Service",6
2015-01-09,"Disturbance","Advised",3
2015-01-09,"Disturbance","Arrest Made",1
2015-01-09,"Disturbance","Cited",1
2015-01-09,"Disturbance","Service",2
2015-01-09,"Alcohol/drugs","Arrest Made",1
2015-01-09,"Alcohol/drugs","Unable to Locate",3
2015-01-09,"Accidents/injuries","Service",2
2015-01-09,"Burglary/theft","False Alarm",1
2015-01-09,"Burglary/theft","MORF",1
2015-01-09,"Burglary/theft","Online Crime Report",7
2015-01-09,"Burglary/theft","Report Taken",2
2015-01-09,"Burglary/theft","Service",2
2015-01-09,"Person search","Advised",1
2015-01-09,"Person search","Service",3
2015-01-09,"Suspicious activity/threats","Advised",1
2015-01-09,"Suspicious activity/threats","Arrest Made",2
2015-01-09,"Suspicious activity/threats","Cited",1
2015-01-09,"Suspicious activity/threats","Service",8
2015-01-09,"Suspicious activity/threats","Unable to Locate",2
2015-01-09,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-10,"Miscellaneous general","Arrest Made",1
2015-01-10,"Miscellaneous general","Service",2
2015-01-10,"Public services","Arrest Made",2
2015-01-10,"Public services","Referred",2
2015-01-10,"Public services","Service",10
2015-01-10,"Bikes","Service",2
2015-01-10,"Checkup","Advised",3
2015-01-10,"Checkup","Report Taken",2
2015-01-10,"Checkup","Service",19
2015-01-10,"Checkup","Unable to Locate",1
2015-01-10,"Checkup","Unfounded",1
2015-01-10,"Patrol","Service",4
2015-01-10,"Vehicular violations","Advised",21
2015-01-10,"Vehicular violations","Cited",9
2015-01-10,"Vehicular violations","Service",5
2015-01-10,"Miscellaneous crime/citation","Online Crime Report",1
2015-01-10,"Miscellaneous crime/citation","Report Taken",1
2015-01-10,"Miscellaneous crime/citation","Service",1
2015-01-10,"Miscellaneous crime/citation","Unable to Locate",1
2015-01-10,"Disturbance","Advised",2
2015-01-10,"Disturbance","Arrest Made",1
2015-01-10,"Disturbance","Report Taken",2
2015-01-10,"Disturbance","Service",3
2015-01-10,"Disturbance","Unable to Locate",2
2015-01-10,"Accidents/injuries","Report Taken",2
2015-01-10,"Burglary/theft","Service",2
2015-01-10,"Burglary/theft","Unfounded",1
2015-01-10,"Person search","Service",1
2015-01-10,"Person search","Unable to Locate",1
2015-01-10,"Suspicious activity/threats","Advised",1
2015-01-10,"Suspicious activity/threats","Arrest Made",2
2015-01-10,"Suspicious activity/threats","Report Taken",2
2015-01-10,"Suspicious activity/threats","Service",10
2015-01-10,"Violent crime, physical & sexual abuse, death","Advised",1
2015-01-10,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-11,"Miscellaneous general","Referred",1
2015-01-11,"Miscellaneous general","Service",2
2015-01-11,"Public services","Service",2
2015-01-11,"Checkup","Advised",1
2015-01-11,"Checkup","Arrest Made",1
2015-01-11,"Checkup","Cancelled by RP",2
2015-01-11,"Checkup","False Alarm",1
2015-01-11,"Checkup","Referred",1
2015-01-11,"Checkup","Report Taken",2
2015-01-11,"Checkup","Service",11
2015-01-11,"Patrol","Service",6
2015-01-11,"Vehicular violations","Advised",17
2015-01-11,"Vehicular violations","Arrest Made",2
2015-01-11,"Vehicular violations","Cited",10
2015-01-11,"Vehicular violations","Service",9
2015-01-11,"Disturbance","Advised",2
2015-01-11,"Disturbance","Cancelled by RP",1
2015-01-11,"Disturbance","Cited",2
2015-01-11,"Disturbance","Service",6
2015-01-11,"Disturbance","Unable to Locate",3
2015-01-11,"Alcohol/drugs","Advised",1
2015-01-11,"Burglary/theft","Cancelled by RP",2
2015-01-11,"Burglary/theft","Incident Number Given",1
2015-01-11,"Burglary/theft","Report Taken",3
2015-01-11,"Burglary/theft","Unfounded",1
2015-01-11,"Person search","Arrest Made",1
2015-01-11,"Person search","Service",2
2015-01-11,"Person search","Unable to Locate",1
2015-01-11,"Suspicious activity/threats","Advised",1
2015-01-11,"Suspicious activity/threats","Civil Problem",1
2015-01-11,"Suspicious activity/threats","Service",9
2015-01-11,"Suspicious activity/threats","Unable to Locate",3
2015-01-11,"Suspicious activity/threats","Unfounded",1
2015-01-11,"Violent crime, physical & sexual abuse, death","Service",1
2015-01-12,"Miscellaneous general","Arrest Made",1
2015-01-12,"Miscellaneous general","Cancelled by RP",1
2015-01-12,"Miscellaneous general","Service",5
2015-01-12,"Public services","Referred",1
2015-01-12,"Public services","Report Taken",1
2015-01-12,"Public services","Service",4
2015-01-12,"Bikes","Cited",1
2015-01-12,"Checkup","Cancelled by RP",2
2015-01-12,"Checkup","Referred",1
2015-01-12,"Checkup","Report Taken",1
2015-01-12,"Checkup","Service",15
2015-01-12,"Patrol","Service",10
2015-01-12,"Vehicular violations","Advised",9
2015-01-12,"Vehicular violations","Cited",18
2015-01-12,"Vehicular violations","Referred",1
2015-01-12,"Vehicular violations","Report Taken",1
2015-01-12,"Vehicular violations","Service",19
2015-01-12,"Vehicular violations","Unable to Locate",1
2015-01-12,"Miscellaneous crime/citation","Report Taken",2
2015-01-12,"Miscellaneous crime/citation","Service",7
2015-01-12,"Miscellaneous crime/citation","Unable to Locate",1
2015-01-12,"Disturbance","Arrest Made",1
2015-01-12,"Disturbance","Service",4
2015-01-12,"Disturbance","Unable to Locate",1
2015-01-12,"Alcohol/drugs","Service",1
2015-01-12,"Accidents/injuries","Report Taken",1
2015-01-12,"Burglary/theft","Cancelled by RP",1
2015-01-12,"Burglary/theft","Report Taken",7
2015-01-12,"Person search","Service",4
2015-01-12,"Person search","Unable to Locate",1
2015-01-12,"Suspicious activity/threats","Advised",2
2015-01-12,"Suspicious activity/threats","Service",3
2015-01-12,"Suspicious activity/threats","Unable to Locate",2
2015-01-12,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-12,"Violent crime, physical & sexual abuse, death","Service",2
2015-01-13,"Miscellaneous general","Referred",1
2015-01-13,"Miscellaneous general","Report Taken",1
2015-01-13,"Miscellaneous general","Service",6
2015-01-13,"Public services","Referred",1
2015-01-13,"Public services","Service",2
2015-01-13,"Bikes","Advised",1
2015-01-13,"Bikes","Cited",1
2015-01-13,"Checkup","Arrest Made",1
2015-01-13,"Checkup","Cancelled by RP",5
2015-01-13,"Checkup","Report Taken",1
2015-01-13,"Checkup","Service",15
2015-01-13,"Patrol","Advised",2
2015-01-13,"Patrol","Service",8
2015-01-13,"Vehicular violations","Advised",8
2015-01-13,"Vehicular violations","Cited",13
2015-01-13,"Vehicular violations","Service",24
2015-01-13,"Miscellaneous crime/citation","Online Crime Report",1
2015-01-13,"Miscellaneous crime/citation","Report Taken",1
2015-01-13,"Miscellaneous crime/citation","Service",7
2015-01-13,"Miscellaneous crime/citation","Unable to Locate",6
2015-01-13,"Disturbance","Arrest Made",1
2015-01-13,"Disturbance","Service",2
2015-01-13,"Accidents/injuries","Report Taken",2
2015-01-13,"Accidents/injuries","Service",1
2015-01-13,"Burglary/theft","MORF",1
2015-01-13,"Burglary/theft","Online Crime Report",20
2015-01-13,"Burglary/theft","Report Taken",5
2015-01-13,"Burglary/theft","Unable to Locate",1
2015-01-13,"Person search","Service",1
2015-01-13,"Suspicious activity/threats","Service",10
2015-01-13,"Suspicious activity/threats","Unable to Locate",3
2015-01-14,"Miscellaneous general","Service",12
2015-01-14,"Public services","Referred",2
2015-01-14,"Public services","Service",10
2015-01-14,"Bikes","Advised",4
2015-01-14,"Bikes","Referred",1
2015-01-14,"Checkup","Advised",1
2015-01-14,"Checkup","Cancelled by RP",11
2015-01-14,"Checkup","Incident Number Given",1
2015-01-14,"Checkup","Report Taken",1
2015-01-14,"Checkup","Service",20
2015-01-14,"Checkup","Unable to Locate",2
2015-01-14,"Patrol","Service",10
2015-01-14,"Patrol","Unable to Locate",1
2015-01-14,"Vehicular violations","Advised",14
2015-01-14,"Vehicular violations","Cancelled by RP",1
2015-01-14,"Vehicular violations","Cited",12
2015-01-14,"Vehicular violations","Referred",2
2015-01-14,"Vehicular violations","Service",14
2015-01-14,"Vehicular violations","Unable to Locate",1
2015-01-14,"Vehicular violations","Unfounded",1
2015-01-14,"Miscellaneous crime/citation","Incident Number Given",1
2015-01-14,"Miscellaneous crime/citation","Report Taken",1
2015-01-14,"Miscellaneous crime/citation","Service",8
2015-01-14,"Miscellaneous crime/citation","Unable to Locate",2
2015-01-14,"Disturbance","False Alarm",1
2015-01-14,"Disturbance","Unable to Locate",1
2015-01-14,"Alcohol/drugs","Referred",1
2015-01-14,"Alcohol/drugs","Report Taken",1
2015-01-14,"Accidents/injuries","Service",1
2015-01-14,"Burglary/theft","Cancelled by RP",1
2015-01-14,"Burglary/theft","False Alarm",1
2015-01-14,"Burglary/theft","MORF",1
2015-01-14,"Burglary/theft","Online Crime Report",18
2015-01-14,"Burglary/theft","Report Taken",2
2015-01-14,"Burglary/theft","Service",2
2015-01-14,"Person search","Report Taken",1
2015-01-14,"Person search","Service",1
2015-01-14,"Suspicious activity/threats","Arrest Made",1
2015-01-14,"Suspicious activity/threats","Cancelled by RP",2
2015-01-14,"Suspicious activity/threats","Report Taken",1
2015-01-14,"Suspicious activity/threats","Service",7
2015-01-14,"Suspicious activity/threats","Unable to Locate",4
2015-01-14,"Violent crime, physical & sexual abuse, death","Report Taken",1
2015-01-14,"Violent crime, physical & sexual abuse, death","Service",2
2015-01-15,"Miscellaneous general","Advised",1
2015-01-15,"Miscellaneous general","Cancelled by RP",1
2015-01-15,"Miscellaneous general","Report Taken",1
2015-01-15,"Miscellaneous general","Service",4
2015-01-15,"Public services","Advised",3
2015-01-15,"Public services","Cancelled by RP",1
2015-01-15,"Public services","Online Crime Report",1
2015-01-15,"Public services","Referred",3
2015-01-15,"Public services","Service",6
2015-01-15,"Public services","Unable to Locate",1
2015-01-15,"Bikes","Advised",1
2015-01-15,"Bikes","Referred",1
2015-01-15,"Checkup","Advised",2
2015-01-15,"Checkup","Arrest Made",1
2015-01-15,"Checkup","Cancelled by RP",7
2015-01-15,"Checkup","Cited",1
2015-01-15,"Checkup","Referred",1
2015-01-15,"Checkup","Report Taken",1
2015-01-15,"Checkup","Service",17
2015-01-15,"Patrol","Referred",1
2015-01-15,"Patrol","Service",13
2015-01-15,"Vehicular violations","Advised",14
2015-01-15,"Vehicular violations","Cancelled by RP",1
2015-01-15,"Vehicular violations","Cited",4
2015-01-15,"Vehicular violations","Referred",2
2015-01-15,"Vehicular violations","Service",9
2015-01-15,"Miscellaneous crime/citation","Advised",1
2015-01-15,"Miscellaneous crime/citation","Arrest Made",1
2015-01-15,"Miscellaneous crime/citation","Online Crime Report",1
2015-01-15,"Miscellaneous crime/citation","Referred",1
2015-01-15,"Miscellaneous crime/citation","Report Taken",1
2015-01-15,"Miscellaneous crime/citation","Service",7
2015-01-15,"Miscellaneous crime/citation","Unable to Locate",1
2015-01-15,"Disturbance","Arrest Made",1
2015-01-15,"Disturbance","Unable to Locate",2
2015-01-15,"Alcohol/drugs","Service",2
2015-01-15,"Accidents/injuries","Service",2
2015-01-15,"Burglary/theft","Advised",1
2015-01-15,"Burglary/theft","Cancelled by RP",2
2015-01-15,"Burglary/theft","MORF",1
2015-01-15,"Burglary/theft","Online Crime Report",14
2015-01-15,"Burglary/theft","Service",1
2015-01-15,"Person search","Service",2
2015-01-15,"Person search","Unfounded",1
2015-01-15,"Suspicious activity/threats","Advised",3
2015-01-15,"Suspicious activity/threats","Cancelled by RP",2
2015-01-15,"Suspicious activity/threats","Cited",1
2015-01-15,"Suspicious activity/threats","Report Taken",2
2015-01-15,"Suspicious activity/threats","Service",9
2015-01-15,"Suspicious activity/threats","Unable to Locate",4
2015-01-15,"Violent crime, physical & sexual abuse, death","Referred",1
2015-01-15,"Violent crime, physical & sexual abuse, death","Report Taken",2
2015-01-16,"Miscellaneous general","Referred",2
2015-01-16,"Miscellaneous general","Report Taken",1
2015-01-16,"Miscellaneous general","Service",6
2015-01-16,"Public services","Cancelled by RP",1
2015-01-16,"Public services","MORF",1
2015-01-16,"Public services","Referred",1
2015-01-16,"Public services","Service",8
2015-01-16,"Bikes","Advised",5
2015-01-16,"Bikes","Cited",5
2015-01-16,"Checkup","Cancelled by RP",10
2015-01-16,"Checkup","False Alarm",1
2015-01-16,"Checkup","Referred",3
2015-01-16,"Checkup","Service",20
2015-01-16,"Checkup","Unable to Locate",1
2015-01-16,"Patrol","Arrest Made",1
2015-01-16,"Patrol","Referred",2
2015-01-16,"Patrol","Service",8
2015-01-16,"Vehicular violations","Advised",14
2015-01-16,"Vehicular violations","Arrest Made",3
2015-01-16,"Vehicular violations","Cancelled by RP",1
2015-01-16,"Vehicular violations","Cited",19
2015-01-16,"Vehicular violations","Incident Number Given",1
2015-01-16,"Vehicular violations","Referred",1
2015-01-16,"Vehicular violations","Report Taken",1
2015-01-16,"Vehicular violations","Service",9
2015-01-16,"Vehicular violations","Unfounded",1
2015-01-16,"Miscellaneous crime/citation","Report Taken",1
2015-01-16,"Miscellaneous crime/citation","Service",4
2015-01-16,"Miscellaneous crime/citation","Unfounded",1
2015-01-16,"Disturbance","Advised",1
2015-01-16,"Disturbance","Report Taken",1
2015-01-16,"Disturbance","Service",3
2015-01-16,"Disturbance","Unable to Locate",2
2015-01-16,"Alcohol/drugs","Unable to Locate",1
2015-01-16,"Accidents/injuries","Incident Number Given",1
2015-01-16,"Burglary/theft","Cancelled by RP",1
2015-01-16,"Burglary/theft","False Alarm",4
2015-01-16,"Burglary/theft","Online Crime Report",3
2015-01-16,"Burglary/theft","Report Taken",3
2015-01-16,"Burglary/theft","Service",3
2015-01-16,"Person search","Advised",1
2015-01-16,"Person search","Arrest Made",1
2015-01-16,"Person search","Service",2
2015-01-16,"Person search","Unable to Locate",1
2015-01-16,"Suspicious activity/threats","Advised",1
2015-01-16,"Suspicious activity/threats","Arrest Made",1
2015-01-16,"Suspicious activity/threats","Cancelled by RP",1
2015-01-16,"Suspicious activity/threats","Cited",2
2015-01-16,"Suspicious activity/threats","Report Taken",1
2015-01-16,"Suspicious activity/threats","Service",10
2015-01-16,"Suspicious activity/threats","Unable to Locate",6
